timestamp,consumer_type,day_type,occupancy,total_consumption_kW,base_load_kW,hvac_kW,lighting_kW,water_heating_kW,cooking_kW,entertainment_kW,laundry_kW,ev_charging_kW,equipment_kW,production_kW,solar_generation_kW,panel_efficiency,temperature,cloud_cover,humidity,solar_irradiance,grid_import_kW,grid_export_kW,self_consumption_kW,self_consumption_ratio,electricity_rate,export_rate,import_cost,export_credit,net_cost,consumption_kWh,solar_generation_kWh
2024-09-20 15:30:00,Residential,Weekday,0.2610873533883714,0.2503902936924029,0.22635196132092955,0.0,0.0,3.138162737734461e-06,7.287176973872175e-06,0.025428796042078854,0.0,0.0,,,1.750406547710726,17.700795818788315,14.694179135465962,46.07740932206133,75.52964336681595,309.3117964525391,,1.500016254018323,0.2503902936924029,0.14304693616455932,0.24,0.08,0.0,0.03000032508036646,-0.03000032508036646,0.06259757342310072,0.4376016369276815
2024-02-15 16:00:00,Residential,,0.355965823130218,0.14085844502154576,0.22608560493559068,0.0,0.0,3.582396914122347e-05,0.00012584478517104522,0.04390257746680209,0.0,0.0,,,0.0,18.197408366105517,7.391053439624785,57.768465764812994,32.02848630024204,0.0,0.14085844502154576,0.0,0.0,0.0,0.32,0.08,0.011268675601723661,0.0,0.011268675601723661,0.03521461125538644,0.0
2024-04-20 17:45:00,Business,Weekend,0.0,1.0685405958733596,0.5336837016745626,0.3,0.2,,,,,,0.0,0.0,0.26279423089023396,17.117341415093684,23.27439095450465,41.58290909683099,57.24564859842263,60.85573986969694,0.8057463649831256,0.0,0.26279423089023396,1.0,0.32,0.08,0.06445970919865004,0.0,0.06445970919865004,0.2671351489683399,0.06569855772255849
2024-10-04 12:45:00,Business,Weekday,1.0,6.1893288723648086,0.550682858340541,2.0,1.5,,,,,,2.0,0.0,4.958077082421765,17.383754833900785,19.35654656028262,12.763913601339977,87.19295477833859,875.8629978747734,1.2312517899430437,0.0,4.958077082421765,1.0,0.24,0.08,0.07387510739658262,0.0,0.07387510739658262,1.5473322180912021,1.2395192706054412
2024-08-20 23:00:00,Residential,Weekday,0.9450181280985833,1.2680646994212803,0.22325968473271196,0.7696073209607615,0.11800976665922,0.003149460934087016,1.4087019219001758e-06,0.1719547406028095,0.0,0.0,,,0.09156510634213849,17.651123552418138,15.424653640909762,11.898084067184147,87.05974515944945,0.0,,0.0,0.09156510634213849,1.0,0.15,0.08,0.04411873474046781,0.0,0.04411873474046781,0.3170161748553201,0.022891276585534623
2024-07-24 00:30:00,Residential,Weekday,0.9235626355350395,0.9139310638673379,0.22630220842612983,0.46178131776751974,0.13084831182873763,2.47203955455359e-10,7.616025379274287e-44,1.8540296659151923e-10,0.0,0.0,,,,17.317430936889192,20.331897986923657,4.718113073752131,84.25489549214112,5.7825637741536084,0.8955068031089901,0.0,0.018424260758347764,1.0,0.15,0.08,0.033581505116587126,0.0,0.033581505116587126,0.22848276596683448,0.004606065189586941
2024-03-07 01:00:00,Residential,Weekday,1.0,1.5749276088209028,0.24847071398396503,1.0984030384545318,,6.091991897885052e-09,6.015026345884962e-38,5.849303358051691e-10,0.0,0.0,,,0.0,18.423656264596328,4.063878461818726,29.766425856274786,36.60967449740566,0.0,1.5749276088209028,0.0,0.0,0.0,0.15,0.08,0.05905978533078385,0.0,0.05905978533078385,0.3937319022052257,0.0
2024-10-19 00:30:00,Business,Weekend,0.0,1.3053273815898807,0.5356358421987335,0.6905067982470839,0.2,,,,,,0.0,0.0,0.02748368267046712,18.56629748538678,,51.00331731592076,58.66621305487055,0.0,1.2778436989194135,0.0,0.02748368267046712,1.0,0.15,0.08,0.047919138709478004,0.0,0.047919138709478004,0.3263318453974702,0.00687092066761678
2024-06-04 04:00:00,Residential,Weekday,0.9609491820939291,1.3238533128383307,0.21740045209823133,0.728008509302319,0.1423314242544493,0.004270072454923294,6.60095648140519e-12,1.9195041025635354e-07,0.0,0.0,,,0.0735308587988904,16.71767332810074,,16.00449260365516,56.74612023963441,0.0,1.2503224540394404,0.0,0.0735308587988904,1.0,0.15,0.08,0.04688709202647901,0.0,0.04688709202647901,0.3309633282095827,0.0183827146997226
2024-06-15 18:15:00,Residential,Weekend,0.7260644506803287,1.5372434342003667,0.2418947793302353,0.5795542728058329,0.32632583826875505,0.04710673486668952,0.1871470982059212,0.1837409881321518,0.0,0.0,,,0.9142700289429269,16.662429965167156,,0.3313271427915282,67.5993720631387,163.49283113803375,0.6229734052574398,0.0,0.9142700289429269,1.0,0.32,0.08,0.04983787242059519,0.0,0.04983787242059519,0.38431085855009167,0.22856750723573172
2024-02-10 06:45:00,Residential,Weekend,0.7871548465982532,1.4236345515880564,0.22599237603163344,0.7162006656499301,,0.3051746552008622,0.07666552894236187,1.3718362131796428e-05,0.0,0.0,,,0.09439696281055326,,11.605602188944484,37.55425334447631,22.881528194637763,24.101344855497185,1.3292375887775032,0.0,0.09439696281055326,1.0,0.24,0.08,0.07975425532665019,0.0,0.07975425532665019,0.3559086378970141,0.023599240702638316
2024-05-05 11:15:00,Business,Weekend,0.3,2.522680881717349,0.5357925335976116,,0.44999999999999996,,,,,,0.6,0.0,4.027343372020994,16.569338541267324,31.333256746068752,,34.18959130204381,752.6250903753959,0.0,1.5046624903036445,2.522680881717349,0.626388328157731,0.24,0.08,0.0,0.03009324980607289,-0.03009324980607289,0.6306702204293373,1.0068358430052484
2024-10-18 14:45:00,Business,Weekday,1.0,,0.5621416668622502,3.6179253894460257,,,,,,,2.0,0.0,1.5148216352490398,17.8961892648233,11.820746105539742,,54.99538334666265,274.52817693434235,6.199840978495235,0.0,1.5148216352490398,,0.24,0.08,0.3719904587097141,0.0,0.3719904587097141,1.9286656534360687,0.37870540881225995
2024-04-17 11:15:00,Residential,Weekday,0.23364632426832482,0.3856300627729246,0.20675943843643807,0.0,,1.1178844233538223e-05,0.002053140608188874,0.0009963701147087404,0.11445834044291717,0.0,,,4.683428512711753,17.214129356260603,21.85103887852053,16.649392523312592,46.397686166618016,849.9702771517201,0.0,4.297798449938829,0.3856300627729246,0.08233926528957326,0.24,0.08,0.0,0.08595596899877657,-0.08595596899877657,0.09640751569323115,1.1708571281779383
2024-11-16 10:45:00,Business,Weekend,0.3,2.653746858587122,0.5488267653084157,1.2340649665800827,0.44999999999999996,,,,,,0.6,0.0,3.2411770484981193,18.233213924248187,6.864501113997244,43.758595543927,48.188325957372,554.6732791055914,0.0,0.5874301899109975,2.653746858587122,0.8187602278057603,0.24,0.08,0.0,0.01174860379821995,-0.01174860379821995,0.6634367146467804,0.8102942621245298
2024-07-13 20:00:00,Business,,0.0,1.2978655684188092,0.5811134111632481,0.3,,,,,,,0.0,0.0,0.0945916152561119,17.118053894885268,23.26391331051076,9.034122256736843,77.2455430895688,24.042543134284585,1.2032739531626973,0.0,0.0945916152561119,1.0,0.32,0.08,0.09626191625301578,0.0,0.09626191625301578,0.3244663921047023,0.023647903814027975
2024-03-12 01:30:00,Business,Weekday,0.0,1.4289892362406154,0.540901188651076,0.634235199487633,0.2,,,,,,0.0,0.0,0.008584590424703704,,5.717653367491133,24.491447427876704,48.378300374076744,0.0,1.4204046458159116,0.0,0.008584590424703704,1.0,0.15,0.08,0.053265174218096685,0.0,0.053265174218096685,0.35724730906015384,0.002146147606175926
2024-08-23 06:45:00,Business,Weekday,0.0,1.04049110522429,0.5486483577535003,0.39883226689054535,0.2,,,,,,0.0,0.0,1.0125941162712424,,27.294408896351513,6.130067940246516,81.85875701378077,169.24909205713445,0.027896988953047597,0.0,1.0125941162712424,1.0,0.24,0.08,0.0016738193371828556,0.0,0.0016738193371828556,0.2601227763060725,0.2531485290678106
2024-08-18 05:30:00,Business,Weekend,0.0,0.91664482353772,0.549536333815854,0.3,0.2,,,,,,0.0,0.0,0.016713722547827714,17.09132952806813,23.656918704880432,11.253111202827537,77.02025317289974,0.0,0.8999311009898923,0.0,0.016713722547827714,1.0,0.15,0.08,0.03374741628712096,0.0,0.03374741628712096,0.22916120588443,0.0041784306369569285
2024-11-14 00:45:00,Business,Weekday,0.0,1.4082920008565212,0.5597052355057579,,0.2,,,,,,0.0,0.0,0.0,,2.32765155125907,57.67883969825477,65.70921430717009,0.0,1.4082920008565212,0.0,0.0,,0.15,0.08,0.052810950032119545,0.0,0.052810950032119545,0.3520730002141303,0.0
2024-08-07 10:15:00,Business,,1.0,7.871987129402099,0.5980285859339861,3.923254234256876,1.5,,,,,,2.0,0.0,3.186459209765629,16.414093560352665,33.61627117128438,46.72281673141191,85.48962597394028,597.4198876394239,4.68552791963647,0.0,3.186459209765629,,0.24,0.08,0.28113167517818816,0.0,0.28113167517818816,1.9679967823505247,0.7966148024414073
2024-05-30 22:00:00,Residential,Weekday,0.8429090502061702,,0.24101883994307838,0.4214545251030851,0.37113723152417694,0.03422260051570687,0.00029799407717034053,0.20248464112714865,0.0016663494807363458,0.0,,,0.02342993984287798,17.214503730197293,21.845533379451577,14.226022569184716,42.20929003854308,8.978297954045601,1.2907114545237572,0.0,0.02342993984287798,,0.24,0.08,0.07744268727142543,0.0,0.07744268727142543,0.3285353485916588,0.005857484960719495
2024-10-23 11:15:00,Residential,,0.33989828877513023,0.3763562937263566,0.21935827948933523,0.0,0.0,1.626248577786204e-05,0.002986817710586754,0.0014494749619397007,0.0,0.0,,,4.1165993682978,17.974156784121632,10.67416493938777,32.72789037841795,68.11421564583395,705.6857115170465,0.0,3.7402430745714437,0.3763562937263566,,0.24,0.08,0.0,0.07480486149142887,-0.07480486149142887,0.09408907343158915,1.02914984207445
2024-07-07 12:15:00,Residential,Weekend,0.6071295592656173,0.9383771580586198,0.247175805558706,,0.0,2.513162489574851e-07,0.10715799110389165,0.006475098697688956,0.0,0.0,,,5.28022062022759,16.598715657550265,30.901240330143178,2.0204104552700954,81.39686145576428,992.0916013765454,0.0,4.3418434621689705,0.9383771580586198,0.17771552091286927,0.24,0.08,0.0,0.08683686924337941,-0.08683686924337941,0.23459428951465494,1.3200551550568975
2024-12-24 10:30:00,Residential,Weekday,0.38925507169874324,0.15341261878324536,0.21996177119326668,0.0,,0.0003405968048194572,2.6117884359345467e-05,0.0007759813029907383,0.0,0.0,,,2.415035961067698,18.764802918716498,,,41.98833945302694,404.0289668432254,0.0,2.2616233422844525,0.15341261878324536,0.063523947989338,0.24,0.08,0.0,0.04523246684568905,-0.04523246684568905,0.03835315469581134,0.6037589902669245
2024-10-02 09:00:00,Business,Weekday,1.0,7.296547613750415,0.5828759834142268,3.0657352235705533,1.5,,,,,,2.0,0.0,2.3995586998934186,17.520699952027975,17.342647764294465,24.68312243452847,77.10356924942772,418.3186030583651,4.896988913856997,0.0,2.3995586998934186,1.0,0.24,0.08,0.2938193348314198,0.0,0.2938193348314198,1.8241369034376038,0.5998896749733547
2024-07-11 07:45:00,Business,Weekday,0.5,5.502813502080157,0.5884455800453892,1.6472894619029543,0.75,,,,,,1.0,1.5,2.6521462617660747,16.627843165905993,30.472894619029542,19.024475940579165,76.35771126528728,489.4629191479795,2.850667240314082,0.0,2.6521462617660747,1.0,0.24,0.08,0.1710400344188449,0.0,0.1710400344188449,1.3757033755200392,0.6630365654415187
2024-11-29 09:15:00,Residential,Weekday,0.3572612809792823,0.32862903018892364,0.24367410176402657,0.0,0.0,0.01136941279950256,0.0002344518115167384,0.00017453250150594281,0.0,0.0,,,0.9504388057402497,,0.6477488901658983,36.239397863003724,22.93920718007573,149.03240180941984,0.0,0.6218097755513261,0.32862903018892364,0.345765585542323,0.24,0.08,0.0,0.012436195511026522,-0.012436195511026522,0.08215725754723091,0.23760970143506244
2024-02-06 12:30:00,Business,Weekday,1.0,7.518063001969477,0.5985343248709012,3.7190506464772124,,,,,,,2.0,0.0,,17.964954439604504,10.809493535227874,51.91450359123514,43.308708912549896,582.4319647195405,,0.0,3.445065057948642,1.0,,0.08,0.24437987664125008,0.0,0.24437987664125008,1.8795157504923692,0.8612662644871605
