timestamp,temperature,humidity,irradiance,voltage,current,power,energy
2023-01-01 00:00:00,25.7,90.0,0.0,30.84,0.0,0.0,0.0
2023-01-01 00:15:00,26.0,90.0,0.0,30.53,0.0,0.0,0.0
2023-01-01 00:30:00,23.0,90.0,0.0,31.8,0.0,0.0,0.0
2023-01-01 00:45:00,25.3,90.0,0.0,30.71,0.0,0.0,0.0
2023-01-01 01:00:00,26.4,90.0,0.0,31.46,0.0,0.0,0.0
2023-01-01 01:15:00,27.6,90.0,0.0,30.06,0.0,0.0,0.0
2023-01-01 01:30:00,30.9,90.0,0.0,30.17,0.0,0.0,0.0
2023-01-01 01:45:00,25.6,90.0,0.0,16.29673490538408,0.0,0.0,0.0
2023-01-01 02:00:00,30.0,90.0,0.0,30.04,0.0,0.0,0.0
2023-01-01 02:15:00,27.4,90.0,0.0,30.22,0.0,0.0,0.0
2023-01-01 02:30:00,29.0,90.0,0.0,30.76,0.0,0.0,0.0
2023-01-01 02:45:00,31.4,90.0,0.0,29.33,0.0,0.0,0.0
2023-01-01 03:00:00,29.0,90.0,0.0,30.91,0.0,0.0,0.0
2023-01-01 03:15:00,35.2,90.0,0.0,29.54,0.0,0.0,0.0
2023-01-01 03:30:00,31.6,90.0,0.0,30.31,0.0,0.0,0.0
2023-01-01 03:45:00,28.5,90.0,0.0,30.0,0.0,0.0,0.0
2023-01-01 04:00:00,34.2,90.0,0.0,29.63,0.0,0.0,0.0
2023-01-01 04:15:00,29.7,90.0,0.0,30.1,0.0,0.0,0.0
2023-01-01 04:30:00,28.7,90.0,0.0,30.66,0.0,0.0,0.0
2023-01-01 04:45:00,31.8,90.0,0.0,30.06,0.0,0.0,0.0
2023-01-01 05:00:00,34.7,90.0,0.0,29.82,0.0,0.0,0.0
2023-01-01 05:15:00,31.7,90.0,0.0,25.318340316034057,0.0,0.0,0.0
2023-01-01 05:30:00,34.0,90.0,0.0,29.5,0.0,0.0,0.0
2023-01-01 05:45:00,29.6,90.0,0.0,29.74,0.0,0.0,0.0
2023-01-01 06:00:00,32.9,90.0,5.2,31.738439762460228,0.06524774641838586,1.4,0.0
2023-01-01 06:15:00,35.3,90.0,10.4,28.97,0.1,2.8,0.001
2023-01-01 06:30:00,30.9,90.0,26.9,30.61,0.24,7.3,0.002
2023-01-01 06:45:00,34.0,90.0,-36.7,30.45,0.0,0.0,0.0
2023-01-01 07:00:00,34.9,90.0,143.8,29.31,1.32,38.8,0.01
2023-01-01 07:15:00,34.6,90.0,208.8,29.63,1.9,56.4,0.014
2023-01-01 07:30:00,34.9,90.0,181.8,29.36,1.67,49.1,0.012
