date,temperature,cloud_cover,rain_probability,solar_radiation,panel_efficiency,power_generated,power_consumed,fault_detected
2023-01-01,23.330885008754258,43.86602454582324,11.380318564510452,561.3397545417677,90.0,0.5916590093886935,3.32168689667343,0
2023-01-02,20.51947936466657,48.7478069312386,17.86327021955658,512.521930687614,89.9,0.4254297338087953,3.402524596057285,0
2023-01-03,19.427961746821513,41.57998542967667,16.844656972087527,584.2001457032333,89.8,0.4243791879798059,5.749275756969849,0
2023-01-04,19.878301103776344,24.49476222492164,13.71165460988095,755.0523777507836,89.7,0.5630237637949224,6.188484980009372,0
2023-01-05,22.678548481151477,24.83744613406442,28.275260550154787,751.6255386593558,89.6,0.5776116706078054,3.1967863615073195,0
2023-01-06,19.123442032212544,20.663942373325234,12.735066307214122,793.3605762667477,89.5,0.5879809930126549,5.49471996066225,0
2023-01-07,21.07657208865389,32.251794364779514,11.335783001571357,677.4820563522048,89.4,0.6759824548545739,5.066454031882013,0
2023-01-08,20.984354802995405,45.21064519056604,29.33392764344027,547.8935480943396,89.3,0.5377129206693122,7.268665263374466,0
2023-01-09,22.031594839368292,43.92213380134699,27.512988579811754,560.7786619865301,89.2,0.5505756912252394,5.048028769088348,0
2023-01-10,20.828697211485043,30.231505926717297,19.139254181199448,697.684940732827,89.1,0.7277639800875936,4.952087123806508,0
2023-01-11,22.737461952411252,25.731588184378083,15.814057989649875,742.6841181562191,89.0,0.603412547456457,4.598606761823578,0
2023-01-12,19.644956389189627,39.69446964110264,18.524326360600394,603.0553035889736,88.9,0.59820228711007,5.07295429534884,0
2023-01-13,18.10209616183346,21.83088750927497,11.84522897986919,781.6911249072504,88.8,0.731456128405695,3.265276657780222,0
2023-01-14,21.82260628354117,26.993690972980165,28.24962288147043,730.0630902701984,88.7,0.5972646931161111,6.905557738139034,0
2023-01-15,19.397678637579858,27.36310532377612,14.410937704158505,726.3689467622387,88.6,0.5811286333405455,7.5959417861867635,0
2023-01-16,18.88159582939907,35.172265417600094,17.94184480126131,648.277345823999,88.5,0.6106496208318881,5.707617924740574,0
2023-01-17,19.229833129954248,33.16465731411766,25.999033341160022,668.3534268588234,88.4,0.6682732083574237,5.831497483095522,0
2023-01-18,20.35526801940835,26.726867159141214,23.40940133557306,732.731328408588,88.3,0.767839464880735,6.059484337690391,0
2023-01-19,20.686975783372905,25.75170281954169,15.847675524207878,742.4829718045831,88.2,0.6304906388883508,5.211759779743814,0
2023-01-20,24.403581747882747,36.92906834885092,22.25723105803644,630.7093165114908,88.1,0.597936157095339,3.254643195711508,0
2023-01-21,19.93318005855025,25.572127962076493,12.480202494009712,744.2787203792351,88.0,0.6491230524567555,5.117486551452055,0
